user_id,date,description,amount,category,type,source,is_anomaly,anomaly_score
1,2025-05-25 22:09:12.219276,Local vegetable vendor,315.0,Food,expense,Credit Card,False,0.0
1,2025-05-28 03:38:12.219276,College Tuition Fee Semester 1,165.0,Education,expense,Credit Card,False,0.0
1,2025-05-28 23:50:12.219276,Udemy Python Course,910.0,Education,expense,Credit Card,False,0.0
1,2025-06-01 07:02:12.219276,Hostel laundry charges,101.0,Hostel,expense,Credit Card,False,0.0
1,2025-06-03 02:08:12.219276,Juice Shop hostel,201.0,Food,expense,Credit Card,False,0.0
1,2025-06-06 10:47:12.219276,Zomato Order,201.0,Food,expense,Credit Card,False,0.0
1,2025-06-06 04:33:12.219276,Netflix subscription premium,487.0,Entertainment,expense,Credit Card,False,0.0
1,2025-06-07 23:30:12.219276,ATM Cash withdrawal Self,395.0,Miscellaneous,expense,Credit Card,False,0.0
1,2025-06-16 21:28:12.219276,Zara retail mall,3625.0,Shopping,expense,Credit Card,False,0.0
1,2025-06-22 10:59:12.219276,Pub weekend entry cover charge,548.0,Entertainment,expense,Credit Card,False,0.0
1,2025-06-23 09:27:12.219276,GitHub Copilot Subscription,2389.0,Bills,expense,Credit Card,False,0.0
1,2025-06-23 09:50:12.219276,Hostel Room Heater Surcharge,90.0,Hostel,expense,Credit Card,False,0.0
1,2025-06-24 00:19:12.219276,Hostel Room Rent Monthly AC,85.0,Hostel,expense,Credit Card,False,0.0
1,2025-06-25 03:05:12.219276,Maggie Point Gate 2,232.0,Food,expense,Credit Card,False,0.0
1,2025-06-25 06:16:12.219276,Auto Fare Cash,253.0,Transport,expense,Credit Card,False,0.0
1,2025-06-26 00:37:12.219276,Zomato Order,409.0,Food,expense,Credit Card,False,0.0
1,2025-07-02 05:45:12.219276,Gift box wrapper,244.0,Miscellaneous,expense,Credit Card,False,0.0
1,2025-07-04 04:20:12.219276,University Exam Fee,479.0,Education,expense,Credit Card,False,0.0
1,2025-07-05 05:45:12.219276,Biryani House Restaurant,225.0,Food,expense,Credit Card,False,0.0
1,2025-07-09 03:23:12.219276,Myntra t-shirt purchase,1416.0,Shopping,expense,Credit Card,False,0.0
1,2025-07-11 22:12:12.219276,Concert ticket EDM show,1174.0,Entertainment,expense,Credit Card,False,0.0
1,2025-07-13 05:54:12.219276,Amusement park ticket,336.0,Entertainment,expense,Credit Card,False,0.0
1,2025-07-13 05:16:12.219276,KFC Chicken meal,162.0,Food,expense,Credit Card,False,0.0
1,2025-07-14 10:22:12.219276,Starbucks Coffee,345.0,Food,expense,Credit Card,False,0.0
1,2025-07-20 11:04:12.219276,Hostel Electricity surcharge,2184.0,Bills,expense,Credit Card,False,0.0
1,2025-07-21 20:54:12.219276,Car rental service,226.0,Transport,expense,Credit Card,False,0.0
1,2025-07-22 20:20:12.219276,KFC Chicken meal,305.0,Food,expense,Credit Card,False,0.0
1,2025-07-26 04:16:12.219276,Starbucks Coffee,316.0,Food,expense,Credit Card,False,0.0
